# www.neaspec.com
# Scan:	 	Approach Curve (PsHet)
# Project:	 	Test
# Description:	 	topol_20mufromcoupler_right_interf_peak
# Date:	 	04/03/2024 13:32:02
# Scanner Center Position (X, Y):	[µm]	65.61	45.89	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.500
# Pixel Area (X, Y, Z):	[px]	1	1	1000
# Averaging:	 	1	 	 
# Integration time:	[ms]	200	 	 
# Laser Source:	 	Tunable VIS
# Detector:	 	NIR
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	PsHet
# Tip Frequency:	[Hz]	261,649.498	 	 
# Tip Amplitude:	[mV]	9.500	 	 
# Tapping Amplitude:	[nm]	69.038	 	 
# Modulation Frequency:	[Hz]	302.835	 	 
# Modulation Amplitude:	[mV]	10,000.000	 	 
# Modulation Offset:	[mV]	-932.672	 	 
# Setpoint:	[%]	75.32	 	 
# Regulator (P, I, D):	 	2.176438	3.053181	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	14.000	 	 
# Q-Factor:	 	338.1	 	 
# Version:	 	1.10.9592.0
Row	Column	Run	Depth	Z	M	EA	EP	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	26	7.511561E-07	NaN	NaN	NaN	163.6889	0	85.67654	0.8817317	0.006329776	2.75623	0.000338465	1.20206	0.0004694096	3.068726	0	0	476.956	0	0.4430752	-0.5806425	0.1735118	-0.5473453	0.04735854	-0.6678607	0.006163402	-0.4182211	0	0	
0	0	0	27	7.516567E-07	NaN	NaN	NaN	163.6112	0	85.6953	0.8815448	0.005711748	2.853901	0.0008783732	1.120192	0.0002433019	0.6293381	0	0	476.972	0	0.4369519	-0.5918719	0.1724565	-0.5609394	0.04556102	-0.5976417	0.008839327	0.4736691	0	0	
0	0	0	28	7.521572E-07	NaN	NaN	NaN	163.6413	0	85.67667	0.881672	0.005788582	2.870664	0.0007260446	0.7849671	0.0001954773	0.8428009	0	0	476.852	0	0.4320399	-0.5933946	0.1695739	-0.5748196	0.04633531	-0.5922215	0.01120814	-0.3862	0	0	
0	0	0	29	7.526587E-07	NaN	NaN	NaN	163.6993	0	85.67807	0.8818687	0.00554354	2.805318	0.0007430615	1.170241	0.0001505415	-1.841611	0	0	476.9491	0	0.4307233	-0.5882954	0.1682979	-0.5574696	0.04451755	-0.6184073	0.003251143	-0.2307725	0	0	
0	0	0	30	7.531581E-07	NaN	NaN	NaN	163.7465	0	85.68457	0.8815466	0.005611777	2.862715	0.0005220228	1.052998	0.0003490538	2.116803	0	0	476.9816	0	0.428414	-0.5938453	0.1695166	-0.5720599	0.04377636	-0.616322	0.007543275	-0.001667565	0	0	
0	0	0	31	7.536586E-07	NaN	NaN	NaN	163.7545	0	85.66168	0.8818797	0.005758002	2.638074	0.000531789	2.287359	0.0003507152	2.262534	0	0	477.028	0	0.4251042	-0.6019304	0.1683481	-0.5601019	0.04505247	-0.6449541	0.01172075	0.3047903	0	0	
0	0	0	32	7.541591E-07	NaN	NaN	NaN	163.8187	0	85.67123	0.8817145	0.005774686	2.808702	0.000544937	2.001521	0.00048629	-1.791419	0	0	477.0184	0	0.4222319	-0.6133965	0.1666774	-0.5694124	0.04631232	-0.6231134	0.002965818	-1.481907	0	0	
0	0	0	33	7.546607E-07	NaN	NaN	NaN	163.7892	0	85.69457	0.8817953	0.004644854	2.821565	0.0004780033	1.583416	0.0002488329	1.258121	0	0	477.0227	0	0.4187933	-0.6166919	0.1630149	-0.5940902	0.04343878	-0.7284415	0.01044191	-0.004892054	0	0	
0	0	0	34	7.551602E-07	NaN	NaN	NaN	163.7828	0	85.6937	0.8815711	0.005893181	2.716105	0.0007982988	1.774669	0.0002974778	1.07048	0	0	477.0789	0	0.4172328	-0.6244457	0.1629934	-0.5870132	0.04342955	-0.6907805	0.01221756	-0.8225762	0	0	
0	0	0	35	7.556607E-07	NaN	NaN	NaN	163.7578	0	85.69024	0.8819239	0.004692215	2.713197	0.0001764731	0.9197623	7.0408E-05	2.733577	0	0	477.0378	0	0.4137908	-0.6248621	0.163333	-0.6052697	0.04317226	-0.6649479	0.007575955	-0.3181169	0	0	
0	0	0	36	7.561612E-07	NaN	NaN	NaN	163.7143	0	85.72563	0.8817399	0.00636644	2.844916	0.000896282	1.165523	0.0002479452	0.4319954	0	0	477.0851	0	0.411919	-0.6384919	0.1610832	-0.593898	0.04428395	-0.6867826	0.008235177	-0.9191012	0	0	
0	0	0	37	7.566626E-07	NaN	NaN	NaN	163.6851	0	85.7008	0.8816089	0.006028642	2.69815	0.001068014	1.592216	0.0005271956	1.782689	0	0	477.1615	0	0.4075303	-0.6481135	0.160234	-0.6168888	0.04051268	-0.723567	0.005244521	-0.9487988	0	0	
0	0	0	38	7.571621E-07	NaN	NaN	NaN	163.6651	0	85.69884	0.88174	0.006147738	2.78081	0.000976818	0.9156206	0.0004381929	1.821332	0	0	477.1095	0	0.4054321	-0.6527376	0.1604972	-0.6165034	0.04391553	-0.6611304	0.007355086	-0.511187	0	0	
0	0	0	39	7.576626E-07	NaN	NaN	NaN	163.6877	0	85.69167	0.8818851	0.005746827	2.745385	0.000440102	0.969809	9.871699E-05	-3.009822	0	0	477.0921	0	0.4032428	-0.6579117	0.1589081	-0.6208186	0.04290581	-0.709233	0.006664344	-1.034281	0	0	
0	0	0	40	7.581631E-07	NaN	NaN	NaN	163.7432	0	85.73787	0.8819335	0.004975911	2.937114	0.0008711784	1.286959	0.0001260897	-0.9374259	0	0	477.1414	0	0.3980455	-0.6681874	0.1570882	-0.6394386	0.04184767	-0.8055454	0.001807681	0.03916456	0	0	
