# www.neaspec.com
# Scan:	 	Approach Curve
# Project:	 	Test
# Description:	 	calibration_sample_TGQ1_new_tip_approach
# Date:	 	02/23/2024 11:42:42
# Scanner Center Position (X, Y):	[µm]	50.15	48.86	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.050
# Pixel Area (X, Y, Z):	[px]	1	1	1000
# Averaging:	 	1	 	 
# Integration time:	[ms]	10	 	 
# Laser Source:	 	
# Detector:	 	None
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	273,028.232	 	 
# Tip Amplitude:	[mV]	9.800	 	 
# Tapping Amplitude:	[nm]	70.224	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	85.15	 	 
# Regulator (P, I, D):	 	1.851189	2.633179	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	14.000	 	 
# Q-Factor:	 	380.2	 	 
# Version:	 	1.10.9592.0
Row	Column	Run	Depth	Z	M	EA	EP	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	27	6.827848E-07	NaN	NaN	NaN	127.2815	0	71.7754	2.046435	0.002100514	-1.816247	0.00164822	-0.6731894	0.0004112754	-2.010669	0	0	-1.002043	0	0.0004217163	-1.151614	0.001339142	-0.3575405	0.0003558297	-1.210623	0.0008555987	0.2635475	0	0	
0	0	0	28	6.828349E-07	NaN	NaN	NaN	127.2749	0	71.52917	2.054833	0.001385651	-1.281413	0.001590452	2.111375	0.001900701	0.4240643	0	0	-1.002282	0	0.002044125	-0.8047996	0.001786148	-0.9673448	0.0008087805	0.6536282	0.0005635918	-2.796451	0	0	
0	0	0	29	6.828849E-07	NaN	NaN	NaN	127.2784	0	71.91713	2.043394	0.003146524	-0.8880686	0.0006077275	2.628668	0.001225961	2.239887	0	0	-1.002041	0	0.0005986927	1.940116	0.001165409	0.9315584	0.0003180877	1.196801	0.0009136054	-0.4688509	0	0	
0	0	0	30	6.829349E-07	NaN	NaN	NaN	127.287	0	71.91626	2.047156	0.001628438	0.7587523	0.00145307	2.047739	0.0009057996	-0.760234	0	0	-1.002202	0	0.001011238	-1.29401	0.000526425	2.922867	0.0004685921	0.9697532	0.0005305887	-2.310337	0	0	
0	0	0	31	6.82985E-07	NaN	NaN	NaN	127.296	0	71.74825	2.050655	0.002840852	-0.08975846	0.000455836	0.1434545	0.001206681	-2.061463	0	0	-1.001697	0	0.0005385186	3.102586	0.0007907724	1.83775	0.001397294	-2.201996	0.0004830972	2.079147	0	0	
0	0	0	32	6.830351E-07	NaN	NaN	NaN	127.2885	0	71.96393	2.030376	0.004545606	0.1685676	0.0006110118	-0.7262951	0.002111635	-0.245787	0	0	-1.001841	0	0.0009972919	-1.822434	0.00232309	2.110867	0.001423311	3.117478	0.0006610954	-1.598665	0	0	
0	0	0	33	6.830851E-07	NaN	NaN	NaN	127.2772	0	72.01642	2.041343	0.005659153	1.369824	0.0008532088	-2.007672	0.0003918937	-1.159933	0	0	-1.002634	0	0.0007969868	-0.9041915	0.001538749	-2.990058	0.000673331	-2.493042	0.0003267575	-0.09979654	0	0	
0	0	0	34	6.831352E-07	NaN	NaN	NaN	127.2745	0	71.6478	2.041911	0.003725052	-0.3544757	0.0006691881	-2.035352	0.0006951687	-2.855024	0	0	-1.002367	0	0.001550215	-0.9185981	0.0006826257	-2.18052	0.0005873488	-0.351229	4.463892E-05	-0.9982548	0	0	
0	0	0	35	6.831852E-07	NaN	NaN	NaN	127.2894	0	72.28315	2.01984	0.002619671	-1.904014	0.0008260903	1.35533	0.001656699	0.7678874	0	0	-1.002392	0	0.0009973306	1.74795	0.0007785814	-0.03712226	0.0003882178	0.2308381	0.001222841	-1.251592	0	0	
0	0	0	36	6.832353E-07	NaN	NaN	NaN	127.2936	0	71.98318	2.033955	0.003751082	-0.1822814	0.001285052	2.765461	0.001983288	2.857096	0	0	-1.002653	0	0.0007909443	1.529084	0.0003256764	1.59069	0.0008865916	0.6613919	0.0004729749	-0.3748594	0	0	
